縣市,鄉鎮,村里,開票所數,蔡蘇得票,馬吳得票,宋林得票,無效票,選舉人數,藍綠比例
金門縣,烏坵鄉,大坵村,1,7,47,0,0,552,0.74074074074074
金門縣,烏坵鄉,小坵村,1,2,47,0,3,648,0.91836734693878
臺南市,官田區,拔林里,1,261,127,15,12,1605,-0.34536082474227
臺南市,官田區,社子里,1,522,111,12,27,2703,-0.64928909952607
臺南市,官田區,嘉南里,1,115,74,5,6,822,-0.21693121693122
臺南市,鹽水區,大豐里,1,188,64,6,3,1086,-0.49206349206349
臺南市,鹽水區,下林里,1,224,55,8,12,1164,-0.60573476702509
臺南市,鹽水區,橋南里,3,1382,888,46,75,10365,-0.21762114537445
金門縣,金城鎮,東門里,2,206,1616,39,30,11355,0.77387486278814
臺南市,鹽水區,河南里,1,268,92,9,27,1614,-0.48888888888889
金門縣,金城鎮,西門里,4,260,3267,82,81,22137,0.85256592004536
金門縣,金城鎮,南門里,3,174,1770,71,39,12318,0.82098765432099
臺南市,鹽水區,飯店里,1,189,86,5,6,1233,-0.37454545454545
臺南市,鹽水區,汫水里,1,539,104,16,18,2877,-0.67651632970451
臺南市,鹽水區,孫厝里,1,203,86,4,6,1341,-0.40484429065744
金門縣,金城鎮,北門里,2,150,1414,45,27,9993,0.80818414322251
臺南市,鹽水區,桐寮里,1,178,45,3,12,918,-0.59641255605381
臺南市,鹽水區,福得里,1,259,166,11,24,1791,-0.21882352941176
金門縣,金湖鎮,瓊林里,2,100,959,24,18,6819,0.81114258734655
金門縣,金沙鎮,大洋里,1,22,364,9,9,2496,0.8860103626943
金門縣,金沙鎮,浦山里,1,37,731,19,39,4902,0.90364583333333
金門縣,金沙鎮,官嶼里,1,30,634,13,21,4668,0.90963855421687
金門縣,金沙鎮,何斗里,1,50,588,14,9,4248,0.84326018808777
金門縣,金沙鎮,汶沙里,3,122,1609,54,33,11526,0.85904101675332
金門縣,金沙鎮,西園里,1,32,435,12,6,3306,0.86295503211991
金門縣,金沙鎮,光前里,1,39,703,10,27,4803,0.89487870619946
金門縣,金沙鎮,三山里,1,21,555,17,36,4158,0.92708333333333
金門縣,烈嶼鄉,林湖村,2,61,980,27,18,7122,0.88280499519693
